Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
KOR,542,"Korea, Rep.",Inflation,Producer Price Inflation,9.18,8.60,13.95,6.97,42.10,26.49,12.12,9.03,11.70,18.70,38.99,20.40,4.67,0.17,0.73,0.90,-1.46,0.45,2.72,1.47,4.18,4.72,2.17,1.52,2.71,4.67,3.25,3.79,12.21,-2.08,2.07,-7.76,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.50,7.08,8.91,3.72,-0.50,-3.47,-4.94,-1.43,8.49,5.21,1.01,-0.46,6.38,8.82
KWT,443,Kuwait,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,2.43,2.98,1.27,3.10,1.31,0.64,-30.59,54.66,42.19
LKA,524,Sri Lanka,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.60,1.71,17.00,6.35,2.93,5.73,10.88,73.30
LTU,946,Lithuania,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,392.91,44.74,28.32,17.27,4.22,-7.45,-11.17,19.40,-2.93,-2.72,-0.57,5.94,11.59,7.36,6.89,18.18,-13.47,10.28,13.89,5.01,-2.36,-4.93,-9.62,-4.37,5.06,5.62,-0.08,-8.88,9.62,25.89
LUX,137,Luxembourg,Inflation,Producer Price Inflation,,,,,-35.94,-3.29,,,,,,10.68,17.88,4.95,6.16,3.00,-1.58,-6.52,2.64,7.61,-2.02,-2.57,-2.69,-1.32,0.88,3.92,-3.11,1.48,2.43,-3.13,4.94,1.07,-1.03,0.94,10.19,6.19,6.34,5.92,6.13,-9.92,5.18,8.54,0.24,-3.47,-1.97,-0.83,-1.17,2.92,4.56,-1.87,-1.95,11.32,25.56
LVA,941,Latvia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,17.01,11.89,13.67,4.12,1.88,-4.01,0.49,1.14,0.43,3.41,8.08,7.93,10.22,16.11,11.71,-4.18,2.84,7.62,3.72,1.79,0.41,-0.94,-2.41,2.45,4.39,1.75,-1.87,13.07,30.81
MAR,686,Morocco,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12,5.93,1.76,17.96,-15.10,6.41,12.75,2.91,-1.87,-2.83,-4.58,1.61,1.68,2.62,0.51,-1.87,5.02,12.74
MDA,921,"Moldova, Rep.",Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,3.28,5.54,6.28,4.50,3.34,0.37,1.84,2.59,8.66,26.58
MEX,273,Mexico,Inflation,Producer Price Inflation,,,,,,,,,,,,,54.60,97.90,66.37,56.64,86.75,141.39,105.32,11.49,21.68,21.63,12.34,7.41,6.11,38.64,33.88,17.55,15.98,14.24,7.84,5.02,5.10,8.30,7.99,4.71,5.58,4.42,7.11,4.46,4.21,5.22,4.63,1.37,2.67,2.93,5.67,6.91,5.47,2.92,4.78,7.09,8.88
MKD,962,North Macedonia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,89.53,4.71,-0.08,4.15,4.22,1.04,10.84,2.59,-0.77,0.02,0.92,3.16,6.85,2.52,10.12,-7.23,11.73,11.87,1.37,-1.37,-1.98,-3.87,-3.10,4.79,0.89,2.09,0.65,11.13,18.51
MLT,181,Malta,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,3.47,,,,,1.99,7.10,,,,1.48,2.73,,1.03,-2.29,-5.35,-3.27,-0.61,5.85,-4.82,-1.23,-1.17,1.28,2.15,-1.39,-3.00,-0.59,-2.17,-0.18,1.51,4.36,2.18,0.32,3.21,5.48
MNE,943,Montenegro,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.40,4.67,6.26,2.04,3.75,8.72,16.04,-5.42,-0.52,3.61,1.92,1.78,0.58,0.26,-0.41,1.75,1.75,2.42,-0.04,1.29,11.14
MNG,948,Mongolia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.49,6.91,4.55,-7.43,5.81,31.27
MOZ,688,Mozambique,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.72,11.61,-0.84,18.93,43.89,20.11,5.86,4.31,-31.43,12.01,21.74
MUS,684,Mauritius,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.04,-3.52,2.55,8.93,3.20,4.74,0.32,2.19,0.10,2.33,3.18,1.45,3.75,11.40,18.08
MYS,548,Malaysia,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,3.69,7.34,4.04,0.66,4.04,1.11,1.45,4.88,4.60,2.28,2.62,10.79,-3.27,3.68,0.53,-0.76,4.60,6.98,6.86,5.26,5.53,10.19,-7.32,5.96,12.32,-0.47,-2.70,1.52,-7.45,-1.05,6.69,-1.14,-1.35,-2.66,9.46,7.74
NIC,278,Nicaragua,Inflation,Producer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03,21.73,-2.35,14.56,20.92,5.94,4.49,8.68,2.69,0.18,6.47,3.72,2.46,3.99,9.06,19.34
NLD,138,Netherlands,Inflation,Producer Price Inflation,6.98,5.54,4.82,6.19,8.95,6.01,6.92,5.51,1.46,2.56,7.38,8.48,4.32,0.73,3.98,3.18,-10.16,-2.57,1.04,4.74,-2.11,0.43,-1.24,-1.88,0.75,2.67,1.49,3.16,-2.56,0.37,12.28,0.78,-1.34,0.72,3.76,6.40,5.16,4.96,7.42,-11.56,8.96,10.90,0.42,-1.15,-1.64,-4.96,-2.48,4.82,2.98,0.93,1.59,12.52,23.78
